Time,Intensity
27.9172,25027822
27.9388,24731146
27.960417,24777607
27.982033,24416068
28.003917,24695370
28.025533,26117328
28.0474,26589546
28.069017,26275313
28.090883,27374143
28.1125,32218660
28.134117,32438342
28.155733,56358749
28.177617,218151257
28.199217,448453059
28.2211,531404064
28.242717,335184227
28.264583,32077220
28.2862,17171149
28.307817,17426095
28.329433,18483342
28.3513,19114558
28.373183,20952524
28.3948,22992760
28.416417,24549652
28.438283,23246396
28.4599,22391830
28.481517,23473726
28.503133,24775494
28.525,23024493
28.546883,21999605
28.5685,22159031
28.590117,22041090
28.611983,22362737
28.6336,22225974
28.655217,22737992
28.677083,23671683
28.6987,24589742
28.720583,25075458
28.7422,23929614
28.7638,23704286
28.785683,24666470
28.8073,27727019
28.828917,31323911
28.850783,37368205
28.8724,41964952
28.894283,49261670
28.915883,54404524
28.9375,57417523
28.959383,57142666
28.981,55488692
29.002617,65018914
29.024483,137099291
29.0461,285420224
29.067967,373257155
29.089583,310900977
29.1112,56565373
29.133083,19959629
29.1547,18947136
29.176567,19984527
29.198183,20652570
29.22005,21618544
29.241667,22937635
29.263283,22514136
29.2849,23399477
29.306783,25086672
29.328383,24465715
29.350267,22827618
29.371883,22923488
29.39375,24186732
29.415367,24971431
29.436983,24025169
29.4586,23521763
29.480467,23620130
29.502083,24077804
29.523967,23528626
29.545583,23794403
29.56745,24192843
29.589067,25147065
29.610683,25868978
29.6323,26251108
29.654167,26695727
29.675783,26133447
29.697667,25776065
29.719283,26053885
29.74115,25694547
29.762767,25509549
29.784383,25947189
29.806,26134073
29.827867,26995595
29.849483,26835062
29.871367,26726432
29.892967,26425782
29.91485,26290045
29.936467,27112344
29.958083,29166306
29.97995,42858558
30.001567,81149630
30.02345,134551412
30.04505,217645261
30.066667,269061757
30.08855,215105105
30.110167,48241316
30.131783,20343733
30.15365,17596017
30.175267,17645686
30.197133,18673283
30.21875,20085203
30.240367,21583643
30.26225,22596260
30.283867,22912207
30.305467,22776343
30.32735,23747054
30.348967,24462655
30.370833,23852646
30.39245,22946836
30.414067,23227637
30.43595,24442814
30.45755,26899649
30.479167,27525856
30.50105,26624637
30.522667,26269075
30.544533,26296150
30.56615,25179057
30.587767,24315663
30.609633,23851040
30.63125,24509199
30.653133,25392089
30.67475,27593847
30.696617,29372392
30.718233,31625174
30.73985,35463822
30.761467,39147318
30.783333,45819701
30.80495,45969497
30.826833,48658498
30.84845,45471716
30.870317,38440035
30.891933,30396187
30.91355,26305730
30.935167,24379624
30.957033,23054643
30.97865,22395508
31.000533,22439964
31.022133,22473593
31.044017,22930112
31.065633,23187010
31.08725,23617324
31.108867,24695099
31.130733,25619354
31.15235,32015203
31.174217,51999262
31.195833,87220459
31.217717,136583052
31.239333,183595611
31.26095,245400020
31.28255,161208157
31.304433,45755205
31.32605,19205803
31.347917,15346292
31.369533,15539297
31.391417,16409811
31.413033,17423018
31.434633,19146322
31.456517,19525635
31.478133,20414301
31.5,20569775
31.521617,20724331
31.543233,20930555
31.565117,21657610
31.586717,23267066
31.608333,24019711
31.630217,23787254
31.651833,23512527
31.6737,23060576
31.695317,23484861
31.716933,23409120
31.7388,23919135
31.760417,24425365
31.782033,24495676
31.803917,24020548
31.825533,24219674
31.8474,24378430
31.869017,24114190
31.890633,23676962
31.9125,24190519
31.934117,24056972
31.955733,23910858
31.977617,22983329
31.999217,23344242
32.0211,23933918
32.042717,25882840
32.064333,27032264
32.0862,26805267
32.107817,25780552
32.129433,25378091
32.1513,24713811
32.173183,24763087
32.1948,25259430
32.216417,24696455
32.238033,24707931
32.2599,24161171
32.281517,24005008
32.303383,24267551
32.325,24639201
32.346883,24160266
32.3685,24448158
32.390117,24512752
32.411717,24900669
32.4336,25060574
32.455467,25198718
32.477083,25030359
32.4987,25048011
32.520583,25380587
32.5422,25922600
32.5638,29744306
32.585417,40959196
32.6073,61912207
32.629167,85314918
32.650783,102659011
32.6724,130515498
32.694283,157190134
32.715883,137950901
32.7375,62249356
32.759383,25712728
32.781,16513755
32.802867,15171897
32.824483,15817708
32.8461,16665374
32.867967,17995614
32.889583,19368802
32.9112,20396154
32.933083,21266129
32.9547,22638678
32.976567,23983669
32.998183,26336420
33.0198,29231959
33.041667,30880754
33.063283,32042862
33.085167,32151720
33.106783,30225947
33.12865,28231202
33.150267,25226942
33.171883,22800781
33.1935,21058812
33.215367,19979939
33.236983,19644328
33.258867,19771276
33.280467,19968482
33.30235,20475333
33.323967,20758152
33.345583,21173429
33.3672,21475230
33.389067,21532941
33.410683,21504836
33.43255,22149583
33.454167,21799397
33.47605,21931940
33.497667,21687062
33.519283,22264297
33.540883,21903747
33.562767,21958291
33.584383,22076072
33.60625,22446903
33.627867,22997796
33.64975,23178130
33.671367,22708207
33.692967,22829556
33.714583,22888445
33.736467,22126561
33.758083,22187474
33.77995,22319678
33.801567,22123935
33.82345,22449824
33.84505,22470546
